Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PREF ESTACIO CUNHA MARTINS;50014854;MS;Jardim;Rural;A escola não está em área de localização diferenciada;Pública;"BR 060 KM 28, S/N BOQUEIRAO. 79240-000 Jardim - MS.";(67) 99939213;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ODETE IGNEZ RESSTEL VILLAS BOAS;50014889;MS;Nioaque;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA QUINTINO BOCAIUVA, 1114 CENTRO. 79220-000 Nioaque - MS.";(67) 32361699;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-21.1584422;-55.8341539
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PADROEIRA DO BRASIL;50014897;MS;Nioaque;Rural;Área de assentamento;Pública;"COLONIA PADROEIRA DO BRASIL, ZONA RURAL. 79220-000 Nioaque - MS.";;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-20.8309427;-55.8677996
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM GUILHERME CORREA DA SILVA - POLO;50014900;MS;Nioaque;Urbana;A escola não está em área de localização diferenciada;Pública;"CORONEL JUVENCIO, 1050 CENTRO. 79220-000 Nioaque - MS.";(67) 32361117;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-21.164687;-55.828509
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DR JOSE GARCIA NETTO;50014927;MS;Nioaque;Rural;Área de assentamento;Pública;"ASSENTAMENTO PALMEIRA, 00 AREA RURAL. 79220-000 Nioaque - MS.";(67) 996575572;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.2271447;-56.1559494
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO CELQ;50015095;MS;Amambai;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA 7 DE SETEMBRO, 3768 CENTRO. 79990-000 Amambai - MS.";(67) 34812455;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-23.1011508;-55.2341636
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA;ESCOLA ESPECIAL RENASCER;50015109;MS;Amambai;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DA REPUBLICA, 1447 VILA SAO LUIZ. 79990-000 Amambai - MS.";(67) 34812260;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-23.1172462;-55.2216753
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEI - NOSSO MUNDO;50015117;MS;Amambai;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE LUIZ SAMPAIO FERRAZ, 1397 VILA SANTA CATARINA. 79990-000 Amambai - MS.";(67) 34812470;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1138737;-55.2152548
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMP INDIGENA MBO EROY GUARANI KAIOWA;50015141;MS;Amambai;Rural;Terra indígena;Pública;"ROD AMAMBAI A PONTA PORA KM 05, 510 ALDEIA AMAMBAI. ALDEIA. 79990-000 Amambai - MS.";(67) 34811810;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-23.0621647;-55.2081509
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM POLO JOAO RODRIGUES;50015150;MS;Amambai;Rural;A escola não está em área de localização diferenciada;Pública;"RODOVIA AMAMBAI JUTI KM 10, S/N NOSSA SENHORA APARECIDA. 79990-000 Amambai - MS.";(67) 34821101;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-23.1521318;-55.1953806
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE DR FERNANDO CORREA DA COSTA;50015168;MS;Amambai;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CASSIANO MARCELO, 1251 CENTRO. 79990-000 Amambai - MS.";(67) 34811346;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-23.09519932;-55.23372442
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE VESPASIANO MARTINS;50015176;MS;Amambai;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FRANCISCO SEREJO NETO, 1050 VILA ALBA. 79990-000 Amambai - MS.";(67) 34812386;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-23.11121;-55.22066
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DR RACHID SALDANHA DERZI;50015214;MS;Amambai;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SETE DE SETEMBRO, 3386 PREDIO. CENTRO. 79990-000 Amambai - MS.";(67) 34816033;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;"Atendimento Educacional Especializado, Atividade Complementar";-23.1038476;-55.2330347
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM ANTONIO PINTO DA SILVA;50015222;MS;Amambai;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA TAMARINO PIMENTEL, 974 VILA PIMENTEL. 79990-000 Amambai - MS.";(67) 34816933;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-23.1002776;-55.2406178
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JULIO MANVAILER;50015230;MS;Amambai;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA WANDERLEY SILVA RAMOS, 1000 VILA GLORIA. 79990-000 Amambai - MS.";(67) 34815980;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-23.1215046;-55.21577754
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE CEL FELIPE DE BRUM;50015249;MS;Amambai;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DUQUE DE CAXIAS, 569 CENTRO. 79990-000 Amambai - MS.";(67) 34811421;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-23.10702;-55.23144
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE DOM AQUINO CORREA;50015257;MS;Amambai;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MARECHAL FLORIANO PEIXOTO, 2.142 FRACAO DA CHACARA 34. 79990-000 Amambai - MS.";(67) 34811512;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atividade Complementar;-23.10016;-55.22098
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ARAL MOREIRA;50015281;MS;Antônio João;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PANTALEAO COELHO XAVIER, 260 CENTRO. 79910-000 Antônio João - MS.";(67) 34351145;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-22.1893093;-55.9459348
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL PANTALEAO COELHO XAVIER;50015290;MS;Antônio João;Urbana;A escola não está em área de localização diferenciada;Pública;"GENESIO FLORES VIEIRA, 1080 ESCOLA. CENTRO. 79910-000 Antônio João - MS.";(67) 34351121;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-22.1920983;-55.9516334
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL MAIKA SANABRIA PINHEIRO;50015311;MS;Antônio João;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA URIAS DE ALMEIDA, 965 VILA NOVA. 79910-000 Antônio João - MS.";(67) 34351393;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-22.1848355;-55.9503776
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE DR FERNANDO CORREA DA COSTA;50015354;MS;Aral Moreira;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA 11 DE OUTUBRO, 902 CENTRO. 79930-000 Aral Moreira - MS.";(67) 34881336;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-22.9526049;-55.62805
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE EUFRAZIA FAGUNDES MARQUES;50015362;MS;Aral Moreira;Rural;A escola não está em área de localização diferenciada;Pública;"RUA ADELINA ANZILAGO, 555 VILA MARQUES. 79932-000 Aral Moreira - MS.";(67) 34871153;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-23.0229333;-55.5868783
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE JOAO VITORINO MARQUES;50015370;MS;Aral Moreira;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA BENTO MARQUES, 897 CENTRO. 79930-000 Aral Moreira - MS.";(67) 34881181;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-22.9490935;-55.6287423
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JOAQUIM MOREIRA LOPES;50015397;MS;Aral Moreira;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GENERAL DUTRA, 1150 ESCOLA. CENTRO. 79930-000 Aral Moreira - MS.";(67) 34881299;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-22.9530044;-55.6271496
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL VENITA RIBEIRO MARQUES;50015400;MS;Aral Moreira;Rural;A escola não está em área de localização diferenciada;Pública;"RODOVIA MS 286, KM 22, SN ZONA RURAL. DISTRITO RIO VERDE DO SUL. 79930-000 Aral Moreira - MS.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-22.9352584;-55.4350397
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CMEI PROFESSOR JULIO USHIGIMA - POLO;50015427;MS;Caarapó;Urbana;A escola não está em área de localização diferenciada;Pública;"GOV. FERNANDO CORREA DA COSTA, 2893 VILA PLANALTO. 79940-000 Caarapó - MS.";(67) 996199397;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-22.6222424;-54.8330756
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM CANDIDO LEMES DOS SANTOS;50015435;MS;Caarapó;Urbana;A escola não está em área de localização diferenciada;Pública;"SETE DE SETEMBRO, 0 JARDIM SANTA MARTA. 79940-000 Caarapó - MS.";(67) 34532623;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-22.6299852;-54.8149098
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM RUI BARBOSA;50015443;MS;Caarapó;Urbana;A escola não está em área de localização diferenciada;Pública;"DA SAUDADE, 980 VILA PLANALTO. 79940-000 Caarapó - MS.";(67) 34531981;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-22.6269535;-54.8378956
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE TEN AVIADOR ANTONIO JOAO;50015451;MS;Caarapó;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA EUCLIDES SEREJO BAPTISTA, 642 CENTRO. 79940-000 Caarapó - MS.";(67) 34531746;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-22.6375624;-54.8204534
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª CLEUZA APARECIDA VARGAS GALHARDO;50015460;MS;Caarapó;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MARCILIANO MACIEL, 475 VILA JARY. 79940-000 Caarapó - MS.";(67) 34531179;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional";"Atendimento Educacional Especializado, Atividade Complementar";-22.6389294;-54.8313195
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROF JOAQUIM ALFREDO SOARES VIANNA;50015478;MS;Caarapó;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA RUI BARBOSA, 375 VILA PLANALTO. 79940-000 Caarapó - MS.";(67) 34531332;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-22.6316531;-54.8299076
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ARCENIO ROJAS;50015486;MS;Caarapó;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MARECHAL RONDON, 672 VILA PLANALTO. 79940-000 Caarapó - MS.";(67) 34531355;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-22.6254212;-54.8315343
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CMEI DONA CHINA;50015540;MS;Caarapó;Urbana;A escola não está em área de localização diferenciada;Pública;"GOV. FERNANDO CORREA DA COSTA, 344 VILA SETENTA. 79940-000 Caarapó - MS.";(67) 99377741;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-22.6398066;-54.8167351
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CMEI PROFESSOR ARMANDO CAMPOS BELO;50015559;MS;Caarapó;Urbana;A escola não está em área de localização diferenciada;Pública;"TIRADENTES, 635 CENTRO. 79940-000 Caarapó - MS.";(67) 34531669;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-22.63307822;-54.82410154
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PADRE JOSE DE ANCHIETA;50015567;MS;Caarapó;Rural;A escola não está em área de localização diferenciada;Pública;"RUA DR ARI COELHO DE OLIVEIRA, S/N CRISTALINA. 79944-000 Caarapó - MS.";(67) 34841015;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-22.5001938;-54.7555483
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE FREI JOAO DAMASCENO;50015583;MS;Caarapó;Rural;A escola não está em área de localização diferenciada;Pública;"RUA PARAGUAI, 767 RURAL. 79942-000 Caarapó - MS.";(67) 34981083;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-22.4984057;-54.8652323
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE BARAO DO RIO BRANCO;50015591;MS;Douradina;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA PRESIDENTE DUTRA, 835 CENTRO. 79880-000 Douradina - MS.";(67) 34121134;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-22.0420567;-54.6132618
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEI ARTE E VIDA;50015605;MS;Douradina;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JUVENAL BAROQUEL, 1435 CENTRO. 79880-000 Douradina - MS.";(67) 34121006;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-22.03838495;-54.61258472
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA;APAE-DOURADOS-MS;50015664;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA GENERAL OSORIO, 3625 JARDIM TROPICAL. 79824-060 Dourados - MS.";(67) 34214972;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atividade Complementar;-22.2125123;-54.82441332
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO ESTADUAL DE EDUCACAO DE JOVENS E ADULTOS DE DOURADOS-CEEJA MS;50015770;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FRANCISCO FEITOSA SOBREIRA, 1525 JARDIM AGUA BOA. 79812-045 Dourados - MS.";(67) 34229753;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação de Jovens Adultos;Atividade Complementar;-22.2480407;-54.8144097
ESCOLA PARALISADA;CRECHE LAR ANDRE LUIZ;50015800;MS;Dourados;Urbana;Não Informado;Privada;"RUA WLADEMIRO DO AMARAL, 225 VILA AMARAL. 79814-022 Dourados - MS.";(67) 34218123;Privada;Não Informado;Não;;;;;-22.23402;-54.81872
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DO SESI DOURADOS;50015834;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Privada;"WALDOMIRO DE SOUZA, 290 VILA INDUSTRIAL. 79840-030 Dourados - MS.";;Privada;Particular;Não;Sim;Mais de 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-22.2275423;-54.78349501
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA PRESBITERIANA ERASMO BRAGA;50015877;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA JOAO ROSA GOES, 703 JARDIM AMERICA. 79804-020 Dourados - MS.";(67) 34215305;Privada;Confessional;Não;Sim;Mais de 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-22.2262418;-54.8136467
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ABIGAIL BORRALHO;50015885;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA MARCELINO PIRES, 696 JARDIM CLIMAX. 79820-101 Dourados - MS.";(67) 34222177;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-22.2292568;-54.822071
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE CASTRO ALVES;50015907;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CIRO MELO, 1483 JARDIM CENTRAL. 79805-031 Dourados - MS.";(67) 34213571;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-22.2231999;-54.8118307
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE MARIA DA GLORIA MUZZI FERREIRA;50015915;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MATO GROSSO, 210 JARDIM RASSLEM. 79813-310 Dourados - MS.";(67) 34231956;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-22.2414137;-54.800893
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM ROTARY DR NELSON DE ARAUJO;50015931;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CIRO MELO, 2677 VILA PLANALTO. 79805-031 Dourados - MS.";(67) 34210167;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE FLORIANO VIEGAS MACHADO;50015940;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CIRO MELO, 5305 JARDIM GUANABARA. 79833-080 Dourados - MS.";(67) 34243839;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-22.2195928;-54.778656
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PASTOR DANIEL BERG;50015958;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ANTONIO EMILIO DE FIGUEIREDO, 800 CENTRO. 79802-020 Dourados - MS.";(67) 34119324;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-22.2330019;-54.8217392
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PRES TANCREDO NEVES;50015966;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FILOMENO JOAO PIRES, 2648 VILA UBIRATAN. 79841-150 Dourados - MS.";(67) 34241485;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atividade Complementar;-22.22926;-54.75769
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE MENODORA FIALHO DE FIGUEIREDO;50016008;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA WEIMAR GONCALVES TORRES, 3447 JARDIM CARAMURU. 79830-020 Dourados - MS.";(67) 34243158;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-22.2247732;-54.7965708
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE MIN JOAO PAULO DOS REIS VELOSO;50016016;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO VICENTE FERREIRA, 243 JARDIM TROPICAL. 79823-010 Dourados - MS.";(67) 34262076;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-22.22389;-54.82804
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PRES VARGAS;50016024;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA OLIVEIRA MARQUES, 1955 JARDIM CENTRAL. 79805-021 Dourados - MS.";(67) 34117980;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-22.2236526;-54.8098236
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE VILMAR VIEIRA MATOS;50016032;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MANOEL RASSELEM, 1415 JARDIM RASSLEM. 79813-070 Dourados - MS.";(67) 34252322;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-22.2541343;-54.8093679
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM AURORA PEDROSO DE CAMARGO;50016040;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"AMAEL POMPEU FILHO, 360 ALVORADA - PQ. 79823-370 Dourados - MS.";(67) 34265301;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-22.2143994;-54.8342952
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFª AVANI CARGNELUTTI FEHLAUER;50016067;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA JOSE ROBERTO TEIXEIRA, 456 JARDIM FLORIDA I. 79822-090 Dourados - MS.";(67) 34264369;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-22.2244146;-54.8374415
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM ARMANDO CAMPOS BELO;50016083;MS;Dourados;Urbana;A escola não está em área de localização diferenciada;Pública;"JOAO PAULO GARCETE, 4825 SANTA BRIGIDA - JD. 79831-070 Dourados - MS.";(67) 34240712;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-22.2116114;-54.7830683
